timestamp,workload,average_ms,median_ms,p95_ms,p99_ms,min_ms,max_ms,avg_records,successful_iterations,failed_iterations
2026-08-21T11:38:30.347891,point_lookup,78.15,76.54,87.17,97.02,72.61,97.02,1.00,20,0
2026-08-21T11:38:30.347891,one_hop_traversal,82.67,78.09,95.87,110.27,72.99,110.27,14.00,20,0
2026-08-21T11:38:30.347891,two_hop_traversal,88.10,84.78,104.49,111.33,79.00,111.33,283.00,20,0
2026-08-21T11:38:30.347891,aggregation,191.53,165.54,327.70,370.63,107.53,370.63,10.00,20,0
